type,name,notice,furigana
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Humidifiers,,H
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Ice boxes,Please remove metal parts.,I
General Garbage,Ice packs,,I
General Garbage,Ink cartridge,Used cartridges should be returned to the store.,I
General Garbage,Ink ribbon,,I
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Ink stones,,I
General Garbage,Inner tubes,,I
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Insect cage (metal),It is General Garbage unless it is made of metal.,I
General Garbage,Insect cages,Metal items are Non-burnable Garbage.,I
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Insect repellent (spray),Use up the contents and be sure to open a hole in the side.,I
General Garbage,Insect repellent (tablet),,I
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Insecticide cans,Use up the contents and be sure to open a hole in the side.,I
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Ironing board,,I
General Garbage,Japanese abacuses,,J
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Japanese dressers,Break down to make it as small as possible.,J
General Garbage,Japanese geta,Metal items are Non-burnable Garbage.,J
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Japanese geta (metal),It is General Garbage unless it is made of metal.,J
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Japanese Ikebana pin sup pat,Separate from other Non-burnable Garbage when throwing out.,J
General Garbage,Japanese sandals,,J
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Juicer machine,,J
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Kerosene pump (electric),Please remove batteries,K
General Garbage,Kerosene pump (manual),,K
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Kettles,,K
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Keyboards (musical instruments and PC),,K
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Keychains,,K
General Garbage,Kitchen mat,Roll it up and bind it with string when throwing out. Large items are Oversized General Garbage.,K
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Kitchen mats (large type),Roll it up and bind it with string when throwing out. Small items are General Garbage.,K
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Kitchen scales (non-metal),Metal items are Non-burnable Garbage.,K
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Knitting machine,,K
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Knives,Please wrap the blade in paper or cloth.,K
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Kotatsu,Part of electric heater is Non-burnable.,K
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Kotatsu (Heater part),Parts other than the electric heater are Oversized Burnable Garbage.,K
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Kotatsu Covers,Fold and bind with string when throwing away.,K
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Kotatsu table taps,,K
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Ladder (metal),,L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Ladders (non-metal),Metal items are Non-burnable Garbage.,L
General Garbage,Laser discs,,L
General Garbage,Lawn clippings,If there are fewer than 3 bags&#44; they are Oversized Burnable Garbage.,L
General Garbage,Leather and synthetic leather item,,L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Leather and synthetic leather item,,L
General Garbage,Leftover foods,Drain as much water as possible.,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Legless chair (metal),It is Oversized Burnable Garbage unless it is made of metal.,L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Legless chair (non-metal),Metal items are Non-burnable Garbage.,L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Lid of the baths,Bind if possible and dispose.,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Lids (caps),If things are made of metal&#44; place with Non-burnable garbage. If it is plastic&#44; place with Plastic Containers.,L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Lids (caps),If things are made of metal&#44; place with Non-burnable garbage. If it is plastic&#44; place with Plastic Containers.,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Light bulb,Separate from other Non-burnable Garbage when throwing out.,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Light fixtures,Remove the bulb from the fixture.,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Light sockets,,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Lighters,Place with Non-burnable Garbage after using up the contents.,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Lipstick containers,If things are made of metal&#44; place with Non-burnable garbage. If it is plastic&#44; place with Plastic Containers.,L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Lipstick containers (plastic),Metal items are Non-burnable Garbage.,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Liquor containers (glass or can),Rinse the inside out with water and remove the lid. Rinse the inside out with water and remove the cap.,L
General Garbage,Liquor containers (paper),Rinse the inside out with water and remove the lid. Rinse the inside out with water and remove the cap.,L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Liquor containers (PET bottles),Rinse the inside out with water and remove the lid. Rinse the inside out with water and remove the lid.,L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Live trees&#44; roots,Cut and make bundles smaller than 10cm x 1m.,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Low table (metal),It is Oversized Burnable Garbage unless it is made of metal.,L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Low table (non-metal),Metal items are Non-burnable Garbage.,L
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Lumps and lanterns,Please remove batteries. (including kerosene),L
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Magnetic mattress,Fold and bind with string when throwing away.,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Magnets,Separate from other Non-burnable Garbage when throwing out.,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Magnifying glass (metal or glass),It is General Garbage unless it is made of metal or glass.,M
General Garbage,Magnifying glass (plastic),Things made of glass are Non-burnable.,M
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Mahjong tiles,,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Marbles,,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Massage apparatus*,For large massage chairs inquire at a retail store.,M
General Garbage,Matches,Immerse it in water&#44; make sure to extinguish the fire.,M
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Mattresses (include spring type),If it can be folded and place with Oversized Burnable Garbage.,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Measuring tap (metal) ,,M
General Garbage,Mechanical pencil,Metal items are Non-burnable Garbage.,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Mechanical pencil (metal),It is General Garbage unless it is made of metal.,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Mess kits,,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Metal bottle caps,,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Microphones (include stand),,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Microwave oven,,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Milk bottles,Should be returned to the store.,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Milk cans,,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Minicars,,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Mirrors,If it is broken&#44; please wrap them in clothing or paper and write "Caution" on it.,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Mortars,,M
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Nails,Separate from other Non-burnable Garbage when throwing out.,N
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Needles,Separate from other Non-burnable Garbage when throwing out.,N
General Garbage,Net bag,Product packaging are Plastic Containers.,N
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Net bag (plastic),General Garbage except for product packaging.,N
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Net bag (plastic),General Garbage except for product packaging.,N
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Noodles containers,Rinse it with water. *Paper items are general garbage.,N
General Garbage,Noodles containers (paper),Rinse things made of plastic with water and put with Plastic Container.,N
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Noodles containers (paper),Rinse it with water. *Paper items are general garbage.,N
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Oil cans,If there is anything remaining inside&#44; please dispose yourself.,O
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Organ,,O
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Oven toaster (microwave),,O
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Oxygen spray cans,Use up the contents and be sure to open a hole in the side.,O
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Paint spray cans,Use up the contents and be sure to open a hole in the side.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Paint tube (metal&#44; plastic),For plastic items&#44; wash the inside and place with plastic container.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Paint tube (plastic),Metal items are Non-burnable Garbage.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Paints/Paint cans,Only for empty cans.,P
General Garbage,Paper clay,,P
General Garbage,Paper cups,,P
General Garbage,Paper fans,,P
General Garbage,Paper pack (silver lining),For items that don't have a silver lining&#44; cut it and rinse with water&#44; then place with used paper.,P
General Garbage,Paper towels,,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Paperweights,,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,PC (peripheral device),,P
General Garbage,Pencil,,P
General Garbage,Pencil cases,Metal items are Non-burnable Garbage.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pencil cases (metal),,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pencil sharpener,,P
General Garbage,Pens,Metal items are Non-burnable Garbage.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pens (metal),It is General Garbage unless it is made of metal.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,PET bottle caps/labels,Metal lids are Non-burnable. Things made of plastic are Plastic Container.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,PET bottle caps/labels,Metal lids are Non-burnable. Things made of plastic are Plastic Container.,P
General Garbage,Photo Album,Removable metal parts are Non-burnable.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Photo frames (metal),It is Oversized Burnable Garbage unless it is made of metal.,P
General Garbage,Photos,,P
General Garbage,Picnic sheets,For large sizes&#44; fold and bind with string when throwing away. ,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Picnic sheets,For large sizes&#44; fold and bind with string when throwing away. ,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Picture frames (non-metal),Metal items are Non-burnable Garbage.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pieces of broken glass,Separate from other Non-burnable Garbage when throwing out.,P
General Garbage,Pill packages (paper),Things made of plastic are Plastic Container,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pill packages (plastic),Paper bags are General Garbage.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Pill packages (plastic),Paper bags are General Garbage.,P
General Garbage,Pillows,For large items place with Oversized Burnable Garbage.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Pillows,For large items place with Oversized Burnable Garbage.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pipe bed,,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Planters (metal or ceramic),Things made of plastic are Oversized Burnable Garbage.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Planters (plastic),Things made of ceramic or metal are Non-burnable.,P
General Garbage,Plants,Please remove dirt.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Plastic bag,Clear or semi-transparent bags can used for garbage bag.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Plastic bags,Use your own bag.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Plastic bags,Use your own bag.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Plastic buckets/plastic tanks,,P
General Garbage,Plastic Containers,Rinse the inside out with water and remove the lid.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Plastic Containers,Rinse the inside out with water and remove the lid.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Plastic sauce bottles,Rinse the inside out with water and remove the lid. Rinse the inside out with water and remove the lid.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Plastic sauce bottles,Rinse the inside out with water and remove the lid. Rinse the inside out with water and remove the lid.,P
General Garbage,Plastic toys,Large items should be broken into smaller pieces.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Playground slides (household use),Metal items are Non-burnable Garbage.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Playground slides (household use) (metal),It is Oversized Burnable Garbage unless it is made of metal.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pliers,,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Plywood boards,Only small quantities. Please cut to smaller than 1 meter.,P
General Garbage,Pocket hand warmer,Metal items are Non-burnable Garbage.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Porcelain enameled pots,,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Portable stove,Please remove batteries and gas canisters.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pot,,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pots,,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pottery,,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pounded rice makers,,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Printer,,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Pruned branch,Cut and make bundles smaller than 10cm x 1m.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pruning shears,Please wrap the blade in paper or cloth.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Pumps (electric),Inquire at a retail store if it has an engine.,P
General Garbage,Pumps*,If it is motorized&#44; place with Non-burnable Garbage. *If it has an engine&#44; please inquire at a retail store.,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Purifiers,,P
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Push pin&#44; tacks,Separate from other Non-burnable Garbage when throwing out.,P
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Rackets,,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Rackets (metal),,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Radio and radio cassette player,Please remove batteries.,R
General Garbage,Rags,,R
General Garbage,Rain coats,,R
General Garbage,Rain gear (ponchos),,R
General Garbage,Raincoats,,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Razors,Please wrap the blade in paper or cloth.,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Razors (razor blades),Please wrap the blade in paper or cloth.,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Reading glasses,,R
General Garbage,Reading glasses (plastic lenses and frames),,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Reception set (metal&#44; glass&#44; stone),Things made of wood or plastic are Oversized Burnable Garbage.,R
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Reception set (wood&#44; plastic),Things made of metal&#44; glass or stones are Non-burnable,R
General Garbage,Records,,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Remote controllers,Please remove batteries.,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Rice bin,Things made of plastic are Oversized Burnable Garbage.,R
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Rice bin (plastic),Metal items are Non-burnable Garbage.,R
General Garbage,Rice bowls (non-pottery),Pottery is Non-burnable Garbage.,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Rice bowls (pottery),Items other than pottery are General Garbage.,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Rice cookers,,R
General Garbage,Rubber band,,R
General Garbage,Rubber gloves,,R
General Garbage,Rulers,Metal items are Non-burnable Garbage.,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Rulers (metal),It is General Garbage unless it is made of metal.,R
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Safe (portable),If it is too heavy to move it by yourself&#44; you must dispose of it yourself.,S
General Garbage,Sandals,,S
General Garbage,Sanitary items,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Saw,Please wrap the blade in paper or cloth.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Scales (household use) (metal),,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Scanners,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Scissors,Please wrap the blade in paper or cloth.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Scotch tape stands (weighted),,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Screw,Separate from other Non-burnable Garbage when throwing out.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Screwdrivers,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Scrubbing brush (metal),It is General Garbage unless it is made of metal.,S
General Garbage,Scrubbing brush (non-metal),Metal items are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Sealed glass cup (for sake),Rinse the inside out with water and remove the lid.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Seasoning containers,Rinse the inside out with water and remove the lid.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Seasoning containers (plastic),Rinse the inside out with water and remove the lid.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Sewing machines,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Sewing needles,Separate from other Non-burnable Garbage when throwing out.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Shampoo Bottles,Rinse the inside out with water and remove the lid.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Shampoo Bottles,Rinse the inside out with water and remove the lid.,S
General Garbage,Shells,,S
General Garbage,Shirts,,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Shoe cupboards,,S
General Garbage,Shoes or boots,,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Shovels,Metal items are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Shovels (metal),It is Oversized Burnable Garbage unless it is made of metal.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Shutters (metal),It is Oversized Burnable Garbage unless it is made of metal. When you purchase a new one&#44; have the retail store dispose of it for you.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Shutters (non-metal),When you purchase a new one&#44; have the retail store dispose of it for you.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Sickle,Please wrap the blade in paper or cloth.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Sickles (household use),Please wrap the blade in paper or cloth.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Sideboards (metal),It is Oversized Burnable Garbage unless it is made of metal.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Sideboards (non-metal),Metal items are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Sieves,Things made of wood&#44; bamboo&#44; and plastic are General Garbage. Things made of metal are Non-burnable Garbage.,S
General Garbage,Sieves (wood&#44; bamboo&#44; plastic),Metal items are Non-burnable Garbage.,S
General Garbage,Siphon pumps,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Siphon pumps (electric),Please remove batteries.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Skate shoes,Metal items are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Skate shoes (metal),It is Oversized Burnable Garbage unless it is made of metal.,S
General Garbage,Skewers,If it is made of wood&#44; break the tips and put with General Garbage. If things are made of metal&#44; wrap them in cloth or paper. ,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Skewers,If it is made of wood&#44; break the tips and put with General Garbage. If things are made of metal&#44; wrap them in cloth or paper. ,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Ski boots,,S
General Garbage,Ski wear,,S
General Garbage,Skiing Glove,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Skis&#44; ski poles,,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Sleds (children's toy),,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Sleeping bag,,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Sliding doors,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Small household appliances (household use) * (except refrigerator&#44; freezer&#44; TV&#44; air-conditioner&#44; washing machine and clothes dryer),*Refrigerator&#44; Freezer&#44; TV&#44; Air-Conditioner&#44; Washing Machine&#44; Clothes Dryer is received by Stores. Refer to the schedule and Garbage separation sections for details.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Snowboards,,S
General Garbage,Socks,,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Sofas,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Soy Sauce bottles,Rinse the inside out with water and remove the lid.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Soy Sauce bottles (plastic),Rinse the inside out with water and remove the lid.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Speakers,Metal parts that have been removed are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Speakers (metal parts),Everything expect for metal parts that have been removed are Oversized Burnable Garbage.,S
General Garbage,Spiked Shoes,Parts of Removable spike parts are Non-burnable Garbage.,S
General Garbage,Spoons,Metal items are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Spoons (metal),It is General Garbage unless it is made of metal.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Spray cans,After the spray can is empty&#44; open a hole in the side of the can and put with Non-burnable Garbage.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Spring mattresses,,S
General Garbage,Stained or dirty towels,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Stamp pads,,S
General Garbage,Stamps (Hanko),Things made of stone or metal are Non-burnable.,S
General Garbage,Stamps (Hanko) (non-stone and non-metal),Things made of stone or metal are Non-burnable.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Stamps (Hanko) (stone&#44; metal),Things that are not made of metal or stone are Oversized General Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Staplers (include staples),Separate from other Non-burnable Garbage when throwing out.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Steamer (rice steamer & etc.) (metal),It is Oversized Burnable Garbage unless it is made of wood or bamboo.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Steamer (rice steamer & etc.) (wood or bamboo type),Metal items are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Steel Cans,Rinse the inside out with water and remove the lid. Rinse the inside out with water and remove the lid.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Stepladders (metal),Things made of wood are Oversized Burnable Garbage.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Stepladders (wood),Metal items are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Stereo system,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Stereos,,S
General Garbage,Stockings,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Stoves,Please make sure you remove any kerosene and batteries.,S
General Garbage,Straw mat,For large items roll up and tie with a string and place with Oversized Burnable Garbage.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Straw mat,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Strollers (baby carriage),It is Oversized Burnable Garbage unless it is made of metal.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Strollers (baby carriage),Metal items are Non-burnable Garbage.,S
General Garbage,Stuffed toy,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Stuffed toy,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Styrofoam (cushioning),If it is big&#44; please crush it.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Styrofoam (cushioning),If it is big&#44; please crush it.,S
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Suitcases,Metal items are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Suitcases (metal),It is Oversized Burnable Garbage unless it is made of metal.,S
General Garbage,Suits,Things with a lining are General Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Sunglasses (metal),It is General Garbage if the frames and lens are both made of plastic.,S
General Garbage,Sunglasses (plastic lenses and frames),Things made of metals are Non-burnable Garbage.,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Swings,,S
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Table (metal),It is Oversized Burnable Garbage unless it is made of metal.,T
General Garbage,Tablecloth,For large items place with Oversized Burnable Garbage.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Tablecloth,,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Tables,Metal items are Non-burnable Garbage.,T
General Garbage,Tape measures,Metal items are Non-burnable Garbage.,T
General Garbage,Tape measures,,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tape measures (metal),It is General Garbage unless it is made of metal.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tape recorders,Please remove batteries.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Tarps,Fold and bind with string when throwing away.,T
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Tatami mats,When you purchase a new one&#44; have the retail store dispose of it for you.,T
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Tea utensils,,T
